ID;Nome Fantasia;Razão Social;CNPJ;Status Sintegra-RS;Segmento;CNAE Fiscal;Cidade;Endereço Completo;Bairro;CEP;Distância (km);Telefone;WhatsApp;E-mail;Possui Site?;Site / Website URL;Decisor;Porte;PDVs Estimados;Lead Score;Observações
CONT-150KM-055;Planno Cont Contabilidade;NEIVA LUCIA DILLENBURG - ME;20.420.921/0001-10;Ativa;Escritórios de Contabilidade;;Santo Ângelo;Rua Barão de Santo Ângelo, 315;Centro;98801-520;137.4;(55) 3313-1433;5555999317512;plannocont@plannocont.com.br;SIM;http://www.plannocont.com.br;Neiva Lucia Dillenburg;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Santo Ângelo-RS (137.4 km de Sarandi). Decisor: Neiva Lucia Dillenburg. Atende ~65 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-054;Tecnisul Assessoria Contábil;TECNISUL ASSESSORIA CONTABIL S/S LTDA;89.969.711/0001-82;Ativa;Escritórios de Contabilidade;;Santo Ângelo;Rua 25 de Julho, 87;Centro;98801-650;137.2;(55) 3312-2903;555533122903;tecnisul@tecnisul.com.br;SIM;http://www.tecnisul.com.br;Osmar Tecnisul;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Santo Ângelo-RS (137.2 km de Sarandi). Decisor: Osmar Tecnisul. Atende ~120 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-053;Percont Planejamento Estratégico e Contábil;PERCONT ASSESSORIA CONTABIL E PLANEJAMENTO LTDA;08.930.226/0001-01;Ativa;Escritórios de Contabilidade;;Ijuí;Av. 21 de Abril, 374;Centro;98700-000;109.0;(55) 3332-9512;555533329512;contato@percont.com.br;SIM;http://www.percont.com.br;Rogério Percont;EMPRESA DE PEQUENO PORTE;1;95;Escritório de Contabilidade auditado e ativo em Ijuí-RS (109.0 km de Sarandi). Decisor: Rogério Percont. Atende ~115 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-052;Escritório Contábil Tonial;ESCRITORIO CONTABIL TONIAL LTDA;21.346.385/0001-13;Ativa;Escritórios de Contabilidade;;Casca;Rua Barão do Rio Branco, 11;Centro;99260-000;115.9;(54) 3343-1540;555433431540;tonial@tonialcontabil.com.br;NÃO;Não possui site;Darci Tonial;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Casca-RS (115.9 km de Sarandi). Decisor: Darci Tonial. Atende ~70 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-051;Global Contabilidade;ANDREZA ZANDONA CONTABILIDADE ME;14.025.999/0001-38;Ativa;Escritórios de Contabilidade;;Sananduva;Av. Salzano da Cunha, 594, Sala 23;Centro;99800-000;109.8;(54) 3343-2477;555433432477;global@globalcontabil.com.br;NÃO;Não possui site;Andreza Zandona;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Sananduva-RS (109.8 km de Sarandi). Decisor: Andreza Zandona. Atende ~65 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-050;Segmento Contábil;SEGMENTO CONTABIL LTDA;06.236.818/0001-94;Ativa;Escritórios de Contabilidade;;Nonoai;Av. Rocha Loires, 520;Centro;99600-000;66.2;(54) 3362-1123;555433621123;segmento@segmentocontabil.com.br;NÃO;Não possui site;Cezar Antonio;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Nonoai-RS (66.2 km de Sarandi). Decisor: Cezar Antonio. Atende ~50 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-049;Escritório Contabilidade Alécio Stella;ESCRITORIO CONTABIL ALECIO STELLA LTDA;28.072.458/0001-75;Ativa;Escritórios de Contabilidade;;Nonoai;Rua Dr. Pedro Roso, 378;Centro;99600-000;66.4;(54) 3362-1369;555433621369;aleciostella@nonoai.com.br;NÃO;Não possui site;Alécio Stella;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Nonoai-RS (66.4 km de Sarandi). Decisor: Alécio Stella. Atende ~60 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-048;Ricardo Ribeiro Assessoria (Exatus);RICARDO RIBEIRO ASSESSORIA CONTABIL LTDA;47.852.764/0001-79;Ativa;Escritórios de Contabilidade;;Cruz Alta;Rua Dr. Borges de Medeiros, 25, Sala 202;Centro;98005-110;102.3;(55) 3324-2110;555533242110;exatus@exatuscontabil.com.br;NÃO;Não possui site;Ricardo Ribeiro;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Cruz Alta-RS (102.3 km de Sarandi). Decisor: Ricardo Ribeiro. Atende ~65 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-046;Rocha Contabilidade e Assessoria;ROCHA CONTABILIDADE E ASSESSORIA EMPRESARIAL LTDA;19.082.470/0001-70;Ativa;Escritórios de Contabilidade;;Soledade;Av. Maurício Cardoso, 632;Centro;99300-000;105.4;(54) 3381-2100;555433812100;rocha@rochacontabilidade.com.br;SIM;http://www.rochacontabilidade.com.br;Adriano Rocha;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Soledade-RS (105.4 km de Sarandi). Decisor: Adriano Rocha. Atende ~60 comércios potenciais. Multiplicador B2B2B prioritário.
CONT-150KM-045;Escritório Borges Contábil & Fiscal;ESCRITORIO BORGES CONTABIL & FISCAL LTDA;04.418.151/0001-15;Ativa;Escritórios de Contabilidade;;Soledade;Rua Cel. Falkembach, 1103, Sala 102;Centro;99300-000;105.3;(54) 3381-1977;555433811977;borges@borgescontabil.com.br;SIM;http://www.borgescontabil.com.br;Neri Borges;MICRO EMPRESA;1;95;Escritório de Contabilidade auditado e ativo em Soledade-RS (105.3 km de Sarandi). Decisor: Neri Borges. Atende ~70 comércios potenciais. Multiplicador B2B2B prioritário.
